filepath,filename,label
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_1.txt,afternoon_apurve_1.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_2.txt,afternoon_apurve_2.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_3.txt,afternoon_apurve_3.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_4.txt,afternoon_apurve_4.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_5.txt,afternoon_apurve_5.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_6.txt,afternoon_apurve_6.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_7.txt,afternoon_apurve_7.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_8.txt,afternoon_apurve_8.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_apurve_9.txt,afternoon_apurve_9.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_1.txt,afternoon_gautam_1.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_2.txt,afternoon_gautam_2.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_3.txt,afternoon_gautam_3.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_4.txt,afternoon_gautam_4.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_5.txt,afternoon_gautam_5.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_6.txt,afternoon_gautam_6.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_7.txt,afternoon_gautam_7.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_8.txt,afternoon_gautam_8.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_gautam_9.txt,afternoon_gautam_9.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_mahendra_1.txt,afternoon_mahendra_1.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_mahendra_2.txt,afternoon_mahendra_2.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_mahendra_3.txt,afternoon_mahendra_3.txt,afternoon
C:\Users\Talha\Documents\DataScience\Data Mining\Project\DataMining-Coursework\combined\afternoon_mahendra_4.txt,afternoon_mahendra_4.txt,afternoon
